mission_id,mission_name,launch_date,year,quarter,month,country,agency,mission_type,launch_vehicle,orbit,payload_mass_kg,success,cost_million_usd
MSN-0000001,Other-DEE-2020-0001,2020-07-09,2020,3,7,Other,Unknown Agency,Deep Space,Ariane 5,GEO,2047.3,True,4.62
MSN-0000002,ESA-EAR-2011-0002,2011-09-24,2011,3,9,ESA,ESA,Earth Observation,Soyuz,LEO,2077.6,True,4.59
MSN-0000003,Japan-WEA-1989-0003,1989-01-26,1989,1,1,Japan,MHI,Weather,Long March 2,LEO,2211.1,True,2.28
MSN-0000004,Russia-MIL-2011-0004,2011-03-09,2011,1,3,Russia,ISS-Reshetnev,Military Reconnaissance,Antares,LEO,5786.1,True,13.7
MSN-0000005,Russia-SCI-1997-0005,1997-03-17,1997,1,3,Russia,ISS-Reshetnev,Science,Ariane 6,LEO,2214.9,True,4.41
MSN-0000006,Russia-SCI-2003-0006,2003-05-18,2003,2,5,Russia,ISS-Reshetnev,Science,Falcon 9,GEO,1926.5,True,4.67
MSN-0000007,Russia-COM-1984-0007,1984-01-24,1984,1,1,Russia,ISS-Reshetnev,Communications,Proton-M,Heliocentric,5178.8,True,13.49
MSN-0000008,China-EAR-1998-0008,1998-03-18,1998,1,3,China,GALACTIC ENERGY,Earth Observation,PSLV,HEO,550.3,True,0.3
MSN-0000009,Israel-MIL-2019-0009,2019-05-08,2019,2,5,Israel,ISA,Military Reconnaissance,Falcon Heavy,LEO,3261.4,True,9.6
MSN-0000010,China-EAR-2012-0010,2012-09-06,2012,3,9,China,CASC,Earth Observation,Proton-M,GEO,1366.9,True,3.86
MSN-0000011,India-TEC-2014-0011,2014-07-22,2014,3,7,India,ISRO,Technology Demonstration,Shavit,LEO,765.5,True,1.03
MSN-0000012,China-COM-1988-0012,1988-02-23,1988,1,2,China,CNSA,Communications,Shavit,LEO,3707.3,True,9.82
MSN-0000013,USA-COM-2012-0013,2012-04-18,2012,2,4,USA,Boeing,Communications,Antares,MEO,6937.1,True,17.47
MSN-0000014,USA-EAR-2001-0014,2001-07-14,2001,3,7,USA,Rocket Lab,Earth Observation,Ariane 5,SSO,793.9,True,2.35
MSN-0000015,USA-COM-1996-0015,1996-02-08,1996,1,2,USA,SpaceX,Communications,Vulcan Centaur,LEO,3014.4,True,8.1
MSN-0000016,USA-CRE-2019-0016,2019-02-02,2019,1,2,USA,NASA,Crewed Mission,Shavit,Lunar,16660.8,True,46.92
MSN-0000017,Japan-EAR-2004-0017,2004-04-28,2004,2,4,Japan,MHI,Earth Observation,Long March 5,HEO,1526.9,True,1.85
MSN-0000018,ESA-TEC-2017-0018,2017-11-23,2017,4,11,ESA,ESA,Technology Demonstration,Ariane 6,LEO,516.9,True,1.01
MSN-0000019,China-WEA-1973-0019,1973-10-16,1973,4,10,China,CASC,Weather,PSLV,HEO,1032.1,True,0.69
MSN-0000020,USA-DEE-2000-0020,2000-10-08,2000,4,10,USA,Boeing,Deep Space,H-IIA,GEO,2900.2,True,6.22
MSN-0000021,China-COM-1991-0021,1991-11-23,1991,4,11,China,CASIC,Communications,Long March 2,LEO,2632.4,True,7.43
MSN-0000022,South Korea-EAR-2010-0022,2010-10-04,2010,4,10,South Korea,KARI,Earth Observation,Atlas V,GEO,2227.2,True,6.31
MSN-0000023,Germany-MIL-1998-0023,1998-03-15,1998,1,3,Germany,DLR,Military Reconnaissance,GSLV,MEO,50.0,True,0.11
MSN-0000024,China-MIL-1978-0024,1978-03-09,1978,1,3,China,CASC,Military Reconnaissance,Delta IV,SSO,187.3,False,0.22
MSN-0000025,China-TEC-1987-0025,1987-11-28,1987,4,11,China,GALACTIC ENERGY,Technology Demonstration,Proton-M,GEO,495.4,True,1.27
MSN-0000026,USA-COM-1981-0026,1981-05-06,1981,2,5,USA,NASA,Communications,Ariane 5,GEO,9370.4,True,7.31
MSN-0000027,UAE-TEC-1983-0027,1983-01-27,1983,1,1,UAE,UAESA,Technology Demonstration,Long March 3,GEO,593.6,True,1.63
MSN-0000028,USA-COM-1978-0028,1978-09-28,1978,3,9,USA,SpaceX,Communications,Long March 7,Heliocentric,5837.5,False,15.54
MSN-0000029,Brazil-CRE-2020-0029,2020-01-06,2020,1,1,Brazil,AEB,Crewed Mission,Long March 2,SSO,8671.9,True,10.12
MSN-0000030,India-EAR-2020-0030,2020-08-08,2020,3,8,India,ISRO,Earth Observation,Vulcan Centaur,SSO,2127.4,True,5.43
MSN-0000031,France-COM-2012-0031,2012-07-11,2012,3,7,France,Arianespace,Communications,Proton-M,SSO,6583.2,True,14.48
MSN-0000032,Japan-COM-1968-0032,1968-05-06,1968,2,5,Japan,JAXA,Communications,H-IIA,GTO,4665.8,True,9.29
MSN-0000033,Russia-WEA-2001-0033,2001-09-04,2001,3,9,Russia,Roscosmos,Weather,Long March 5,SSO,1255.4,True,1.77
MSN-0000034,USA-TEC-1996-0034,1996-06-22,1996,2,6,USA,ULA,Technology Demonstration,Delta IV,MEO,584.1,True,1.27
MSN-0000035,Russia-TEC-2007-0035,2007-04-14,2007,2,4,Russia,ISS-Reshetnev,Technology Demonstration,NURI,GTO,214.4,True,0.32
MSN-0000036,Japan-COM-1988-0036,1988-10-20,1988,4,10,Japan,JAXA,Communications,Shavit,LEO,1124.2,True,2.0
MSN-0000037,India-SUP-2015-0037,2015-11-03,2015,4,11,India,ISRO,Supply/Resupply,Angara,GEO,6787.4,True,14.81
MSN-0000038,USA-EAR-1967-0038,1967-04-16,1967,2,4,USA,Boeing,Earth Observation,H3,SSO,964.0,True,2.62
MSN-0000039,China-TEC-1999-0039,1999-07-08,1999,3,7,China,CNSA,Technology Demonstration,Antares,GEO,999.9,True,2.45
MSN-0000040,USA-CRE-2013-0040,2013-08-02,2013,3,8,USA,Boeing,Crewed Mission,GSLV,LEO,15290.4,True,12.74
MSN-0000041,Russia-SCI-2007-0041,2007-06-25,2007,2,6,Russia,ISS-Reshetnev,Science,Ariane 5,GEO,1595.3,True,4.38
MSN-0000042,India-NAV-1991-0042,1991-04-27,1991,2,4,India,ISRO,Navigation,Shavit,LEO,1069.2,True,2.21
MSN-0000043,USA-EAR-1993-0043,1993-05-11,1993,2,5,USA,SpaceX,Earth Observation,Long March 2,SSO,1900.1,True,4.31
MSN-0000044,USA-COM-2007-0044,2007-07-02,2007,3,7,USA,Northrop Grumman,Communications,Vulcan Centaur,SSO,5554.6,True,15.91
MSN-0000045,USA-MIL-2008-0045,2008-08-01,2008,3,8,USA,Northrop Grumman,Military Reconnaissance,Long March 3,LEO,751.4,True,1.78
MSN-0000046,China-SCI-1988-0046,1988-04-09,1988,2,4,China,GALACTIC ENERGY,Science,Long March 7,GEO,3009.6,True,6.95
MSN-0000047,Japan-MIL-2024-0047,2024-09-01,2024,3,9,Japan,MHI,Military Reconnaissance,Long March 5,GEO,3564.6,True,3.4
MSN-0000048,USA-COM-2002-0048,2002-06-25,2002,2,6,USA,Boeing,Communications,Long March 5,LEO,4284.5,False,4.84
MSN-0000049,USA-EAR-2006-0049,2006-06-08,2006,2,6,USA,SpaceX,Earth Observation,Shavit,LEO,1721.1,True,1.72
MSN-0000050,USA-EAR-1981-0050,1981-11-04,1981,4,11,USA,ULA,Earth Observation,H-IIA,GTO,1439.2,True,3.48
MSN-0000051,USA-SCI-2015-0051,2015-02-25,2015,1,2,USA,Rocket Lab,Science,Electron,GTO,1959.7,True,5.43
MSN-0000052,Russia-SUP-1987-0052,1987-10-23,1987,4,10,Russia,ISS-Reshetnev,Supply/Resupply,Shavit,LEO,8286.6,True,21.76
MSN-0000053,China-EAR-2024-0053,2024-01-12,2024,1,1,China,GALACTIC ENERGY,Earth Observation,GSLV,LEO,847.2,True,2.17
MSN-0000054,USA-SUP-2011-0054,2011-08-23,2011,3,8,USA,Rocket Lab,Supply/Resupply,Antares,LEO,9725.5,True,11.43
MSN-0000055,Japan-SCI-2004-0055,2004-07-27,2004,3,7,Japan,MHI,Science,H-IIA,LEO,2811.8,True,3.12
MSN-0000056,Russia-SCI-1998-0056,1998-01-16,1998,1,1,Russia,ISS-Reshetnev,Science,Long March 2,LEO,438.4,True,0.59
MSN-0000057,Germany-TEC-1992-0057,1992-01-17,1992,1,1,Germany,DLR,Technology Demonstration,Vulcan Centaur,LEO,435.1,True,0.92
MSN-0000058,Russia-WEA-1977-0058,1977-04-13,1977,2,4,Russia,ISS-Reshetnev,Weather,Other,LEO,631.2,False,1.06
MSN-0000059,China-NAV-2015-0059,2015-06-12,2015,2,6,China,CASIC,Navigation,Other,LEO,1798.3,True,1.44
MSN-0000060,China-WEA-1986-0060,1986-04-24,1986,2,4,China,CASIC,Weather,Ariane 6,LEO,1539.3,True,4.54
MSN-0000061,Japan-COM-1997-0061,1997-05-01,1997,2,5,Japan,JAXA,Communications,Other,GEO,4176.5,True,8.75
MSN-0000062,India-EAR-1964-0062,1964-05-16,1964,2,5,India,ISRO,Earth Observation,Ariane 6,LEO,3639.5,True,4.12
MSN-0000063,France-EAR-1974-0063,1974-08-03,1974,3,8,France,Arianespace,Earth Observation,H-IIA,GEO,1929.2,True,1.38
MSN-0000064,USA-SCI-2000-0064,2000-10-26,2000,4,10,USA,Boeing,Science,H3,LEO,1969.1,True,5.46
MSN-0000065,USA-SCI-2001-0065,2001-10-20,2001,4,10,USA,SpaceX,Science,Falcon Heavy,GEO,1664.0,True,1.93
MSN-0000066,USA-COM-2007-0066,2007-03-01,2007,1,3,USA,ULA,Communications,Long March 7,LEO,152.5,True,0.09
MSN-0000067,USA-COM-2020-0067,2020-02-22,2020,1,2,USA,SpaceX,Communications,Soyuz,HEO,5659.6,True,8.85
MSN-0000068,China-SCI-2021-0068,2021-03-03,2021,1,3,China,CASIC,Science,Falcon Heavy,LEO,574.8,True,0.92
MSN-0000069,Russia-COM-2000-0069,2000-05-17,2000,2,5,Russia,ISS-Reshetnev,Communications,GSLV,GEO,5499.1,True,11.05
MSN-0000070,USA-COM-2012-0070,2012-10-19,2012,4,10,USA,ULA,Communications,Falcon 9,Lunar,5276.2,True,10.24
MSN-0000071,India-EAR-2005-0071,2005-08-09,2005,3,8,India,ISRO,Earth Observation,Electron,Lunar,149.6,False,0.2
MSN-0000072,Russia-TEC-2019-0072,2019-06-14,2019,2,6,Russia,ISS-Reshetnev,Technology Demonstration,Other,GEO,715.8,True,1.81
MSN-0000073,China-NAV-1995-0073,1995-06-04,1995,2,6,China,GALACTIC ENERGY,Navigation,Long March 5,SSO,2017.4,False,3.09
MSN-0000074,USA-COM-2016-0074,2016-11-15,2016,4,11,USA,ULA,Communications,Falcon Heavy,LEO,4914.5,True,7.84
MSN-0000075,ESA-EAR-2024-0075,2024-10-26,2024,4,10,ESA,ESA,Earth Observation,Soyuz,MEO,1450.5,True,4.32
MSN-0000076,UK-NAV-1980-0076,1980-03-16,1980,1,3,UK,OneWeb,Navigation,Other,LEO,2123.2,True,5.49
MSN-0000077,Other-COM-2007-0077,2007-07-07,2007,3,7,Other,Unknown Agency,Communications,H3,GEO,7900.8,True,10.66
MSN-0000078,India-COM-1960-0078,1960-12-10,1960,4,12,India,ISRO,Communications,H-IIA,GEO,2252.7,False,3.64
MSN-0000079,Russia-COM-2016-0079,2016-07-15,2016,3,7,Russia,ISS-Reshetnev,Communications,Long March 2,SSO,6466.7,True,3.94
MSN-0000080,India-TEC-2018-0080,2018-07-22,2018,3,7,India,ISRO,Technology Demonstration,Shavit,Heliocentric,473.3,True,0.39
MSN-0000081,Italy-COM-1978-0081,1978-08-04,1978,3,8,Italy,ASI,Communications,PSLV,HEO,6110.8,False,4.2
MSN-0000082,India-COM-2010-0082,2010-07-21,2010,3,7,India,ISRO,Communications,Atlas V,SSO,5107.4,True,14.74
MSN-0000083,China-MIL-2004-0083,2004-09-02,2004,3,9,China,CNSA,Military Reconnaissance,H3,LEO,939.8,False,1.49
MSN-0000084,USA-SCI-2020-0084,2020-08-06,2020,3,8,USA,ULA,Science,Other,LEO,312.0,True,0.78
MSN-0000085,USA-COM-1982-0085,1982-09-14,1982,3,9,USA,Boeing,Communications,H-IIA,GEO,5527.9,True,11.33
MSN-0000086,USA-MIL-1982-0086,1982-08-21,1982,3,8,USA,Boeing,Military Reconnaissance,Proton-M,LEO,5122.9,True,14.1
MSN-0000087,ESA-EAR-2002-0087,2002-06-19,2002,2,6,ESA,ESA,Earth Observation,Angara,GEO,960.4,True,2.88
MSN-0000088,France-EAR-1998-0088,1998-06-19,1998,2,6,France,Arianespace,Earth Observation,Angara,Lunar,1777.9,True,2.11
MSN-0000089,China-TEC-2015-0089,2015-01-20,2015,1,1,China,CASIC,Technology Demonstration,Ariane 6,SSO,925.2,True,0.97
MSN-0000090,USA-COM-2016-0090,2016-11-22,2016,4,11,USA,Rocket Lab,Communications,Antares,GEO,3019.2,True,1.81
MSN-0000091,India-EAR-1998-0091,1998-03-03,1998,1,3,India,ISRO,Earth Observation,Angara,LEO,1038.1,True,1.9
MSN-0000092,UK-DEE-1991-0092,1991-08-26,1991,3,8,UK,UKSA,Deep Space,Angara,MEO,3508.5,True,5.86
MSN-0000093,USA-WEA-1989-0093,1989-11-24,1989,4,11,USA,Boeing,Weather,NURI,Heliocentric,2084.5,True,1.11
MSN-0000094,China-NAV-2012-0094,2012-11-09,2012,4,11,China,CASIC,Navigation,H-IIA,LEO,1704.8,True,1.31
MSN-0000095,USA-EAR-2020-0095,2020-09-11,2020,3,9,USA,ULA,Earth Observation,H3,LEO,2874.8,True,6.1
MSN-0000096,USA-EAR-1970-0096,1970-08-04,1970,3,8,USA,Boeing,Earth Observation,Delta IV,LEO,2076.7,True,3.39
MSN-0000097,ESA-WEA-2023-0097,2023-07-19,2023,3,7,ESA,Arianespace,Weather,Antares,SSO,667.3,True,0.39
MSN-0000098,Russia-NAV-2023-0098,2023-06-04,2023,2,6,Russia,ISS-Reshetnev,Navigation,NURI,LEO,747.1,True,0.49
MSN-0000099,USA-SUP-2023-0099,2023-08-03,2023,3,8,USA,ULA,Supply/Resupply,NURI,LEO,4593.0,True,5.09
MSN-0000100,USA-SCI-1974-0100,1974-09-07,1974,3,9,USA,ULA,Science,H-IIA,LEO,50.0,False,0.12
MSN-0000101,India-SCI-1992-0101,1992-03-05,1992,1,3,India,ISRO,Science,GSLV,LEO,2404.8,True,3.36
MSN-0000102,India-SCI-1965-0102,1965-05-02,1965,2,5,India,ISRO,Science,Antares,MEO,2977.7,False,5.03
MSN-0000103,India-NAV-1979-0103,1979-09-08,1979,3,9,India,ISRO,Navigation,H3,LEO,2333.0,True,4.92
MSN-0000104,USA-SPA-2019-0104,2019-07-22,2019,3,7,USA,NASA,Space Station,Delta IV,GEO,4280.0,True,11.76
MSN-0000105,Russia-EAR-1981-0105,1981-10-21,1981,4,10,Russia,ISS-Reshetnev,Earth Observation,H-IIA,GEO,323.1,True,0.57
