research_id,mission_id,country,experiment_type,research_domain,duration_days,data_generated_gb,personnel_required,equipment_count,resource_cost_musd,success,year
RSH-0000001,MSN-0034452,France,Plasma Physics,Materials Science,636,374.3,38,11,5.5,True,1993
RSH-0000002,MSN-0084526,India,Lidar Surface Mapping,Atmospheric Physics,528,485.0,39,11,12.72,True,1965
RSH-0000003,MSN-0027490,China,Autonomous Navigation,Astrophysics,142,2016.4,19,8,46.24,True,2013
RSH-0000004,MSN-0097916,Russia,Plasma Physics,Atmospheric Physics,697,446.7,10,7,45.38,True,2023
RSH-0000005,MSN-0076420,Russia,Gravitational Wave Detection,Astrophysics,348,561.5,5,8,13.24,True,2017
RSH-0000006,MSN-0083128,USA,Orbital Crystallography,Quantum Communications,617,320.5,20,9,32.72,True,1987
RSH-0000007,MSN-0077157,India,Cosmic Dust Analysis,Atmospheric Physics,379,3505.7,16,13,21.61,True,2024
RSH-0000008,MSN-0037730,UK,Radiation Profiling,Relativistic Physics,669,258.1,36,1,30.55,True,1979
RSH-0000009,MSN-0033587,China,Thermal Imaging,Materials Science,586,1286.8,20,13,42.92,True,1994
RSH-0000010,MSN-0064213,ESA,Fluid Dynamics,Astrophysics,690,5957.9,11,7,3.36,True,2012
RSH-0000011,MSN-0091401,Russia,Cosmic Dust Analysis,Space Botany,71,455.9,32,9,19.74,False,1999
RSH-0000012,MSN-0094171,USA,Spectroscopic Survey,Microgravity Biology,578,679.7,18,12,43.36,True,2019
RSH-0000013,MSN-0048140,Russia,Thermal Imaging,Atmospheric Physics,392,483.2,26,7,3.02,False,2017
RSH-0000014,MSN-0039519,USA,Spectroscopic Survey,Quantum Communications,670,162.2,3,1,14.86,True,1993
RSH-0000015,MSN-0004181,Germany,Orbital Crystallography,Microgravity Biology,379,1870.4,21,12,13.67,True,2015
RSH-0000016,MSN-0082580,China,Fluid Dynamics,Exoplanetology,31,1188.4,32,2,48.37,True,1968
RSH-0000017,MSN-0051847,Russia,Radiation Profiling,Astrophysics,653,1278.9,22,2,48.4,False,1965
RSH-0000018,MSN-0072811,USA,Cosmic Dust Analysis,Space Botany,463,198.5,11,7,39.06,True,2024
RSH-0000019,MSN-0098895,USA,Radiation Profiling,Solar Dynamics,368,578.1,25,1,7.05,True,1971
RSH-0000020,MSN-0037900,USA,Fluid Dynamics,Astrophysics,564,469.8,37,7,34.7,True,1977
