record_id,mission_id,satellite_id,timestamp,country,mission_type,fuel_consumption_kg,energy_consumption_mwh,storage_usage_gb,bandwidth_usage_gbps,ground_station_hours,maintenance_hours,year
RES-0000001,MSN-0033246,SAT-VIRT-84810,2016-06-05,India,Crewed Mission,2077.01,148.39,3166.9,5.1,8.5,43.0,2016
RES-0000002,MSN-0088369,SAT-0083257,2017-06-19,China,Communications,610.61,38.08,1447.1,8.01,20.4,42.3,2017
RES-0000003,MSN-0004046,SAT-VIRT-04278,1987-07-11,France,Military Reconnaissance,1275.37,49.38,655.7,9.87,63.6,5.7,1987
RES-0000004,MSN-0026773,SAT-0025341,2016-02-21,USA,Technology Demonstration,94.48,21.32,3259.2,14.69,34.5,46.4,2016
RES-0000005,MSN-0044855,SAT-0042514,2022-08-02,USA,Earth Observation,186.84,39.99,6330.7,37.04,54.6,36.3,2022
RES-0000006,MSN-0046769,SAT-0044277,2016-04-16,Russia,Communications,859.18,87.81,850.5,7.58,37.1,10.4,2016
RES-0000007,MSN-0051643,SAT-0048907,2019-06-26,France,Communications,382.68,65.6,1577.6,6.54,21.1,21.9,2019
RES-0000008,MSN-0022427,SAT-0021290,2018-10-24,ESA,Space Station,3266.61,290.63,2846.5,5.18,29.1,45.8,2018
RES-0000009,MSN-0046261,SAT-0043829,2010-09-25,USA,Science,212.61,35.39,7830.2,11.82,221.6,41.6,2010
RES-0000010,MSN-0063704,SAT-0060241,2005-04-19,Other,Earth Observation,452.58,24.66,11628.3,17.82,177.5,19.2,2005
RES-0000011,MSN-0028124,SAT-VIRT-89696,1992-05-02,Canada,Weather,113.63,30.92,6927.7,23.47,94.7,4.7,1992
RES-0000012,MSN-0037380,SAT-0035417,2001-02-15,Russia,Earth Observation,148.89,21.87,5592.2,48.28,187.8,17.1,2001
RES-0000013,MSN-0063716,SAT-0060253,2002-11-15,USA,Science,686.8,47.72,11011.5,29.58,144.9,7.2,2002
RES-0000014,MSN-0098504,SAT-VIRT-12395,1984-10-04,Russia,Technology Demonstration,68.81,28.21,3373.3,1.1,20.6,9.5,1984
RES-0000015,MSN-0053825,SAT-0050975,1987-11-01,China,Science,252.13,27.97,3872.7,13.49,74.7,45.6,1987
RES-0000016,MSN-0028067,SAT-0026587,2021-02-24,Japan,Military Reconnaissance,531.05,74.76,3235.1,11.68,58.2,46.7,2021
RES-0000017,MSN-0025037,SAT-0023698,1959-07-26,Russia,Science,454.57,79.97,3326.8,6.46,79.4,26.5,1959
RES-0000018,MSN-0037779,SAT-0035773,1966-06-24,Russia,Earth Observation,279.96,44.64,7229.5,35.43,96.4,30.6,1966
RES-0000019,MSN-0041840,SAT-0039719,2011-11-23,China,Military Reconnaissance,833.22,70.93,2925.9,4.28,8.5,23.9,2011
RES-0000020,MSN-0061201,SAT-0057857,2013-12-14,Russia,Science,234.88,46.44,5500.1,34.99,73.8,5.3,2013
RES-0000021,MSN-0038978,SAT-0036954,2011-09-02,USA,Science,186.8,21.77,3396.5,46.73,132.3,10.8,2011
RES-0000022,MSN-0078902,SAT-0074479,1967-07-07,China,Earth Observation,218.77,31.14,5121.0,28.65,72.0,43.6,1967
RES-0000023,MSN-0027864,SAT-0026376,2017-03-28,South Korea,Science,205.12,48.67,7836.1,6.64,65.9,9.8,2017
RES-0000024,MSN-0075258,SAT-0071080,1986-10-27,USA,Military Reconnaissance,607.69,60.69,1615.7,6.49,44.0,44.8,1986
RES-0000025,MSN-0077156,SAT-0072840,2000-01-16,USA,Earth Observation,75.28,33.67,9848.2,49.24,131.5,22.9,2000
RES-0000026,MSN-0067265,SAT-0063522,1983-11-07,USA,Navigation,541.29,19.57,2593.0,13.3,59.5,6.5,1983
RES-0000027,MSN-0007399,SAT-VIRT-94850,2021-05-09,Germany,Technology Demonstration,54.63,30.85,2700.4,10.21,64.0,43.7,2021
RES-0000028,MSN-0089740,SAT-0084518,2023-11-10,ESA,Science,177.57,28.49,8143.4,5.92,61.5,7.7,2023
RES-0000029,MSN-0071103,SAT-0067109,2022-06-17,Italy,Earth Observation,117.05,27.39,2795.4,16.04,227.0,7.6,2022
RES-0000030,MSN-0079135,SAT-0074686,1993-01-27,Canada,Military Reconnaissance,511.97,53.5,3375.8,7.75,47.2,7.2,1993
RES-0000031,MSN-0022360,SAT-0021232,2017-07-23,ESA,Science,291.33,24.88,3895.7,25.15,75.9,41.6,2017
RES-0000032,MSN-0003129,SAT-0002924,2019-06-05,Germany,Navigation,258.46,37.99,508.2,3.53,35.7,23.3,2019
RES-0000033,MSN-0046239,SAT-0043813,1984-04-12,India,Communications,367.89,75.02,3185.9,2.39,37.4,34.5,1984
RES-0000034,MSN-0084664,SAT-0079806,1998-02-16,USA,Science,464.25,46.82,10904.1,15.67,94.8,24.4,1998
