satellite_id,mission_id,satellite_name,country,operator,purpose,launch_date,year,quarter,orbit_type,mass_kg,status
SAT-0000001,MSN-0000002,ES-SAT-000001,ESA,ESA,Earth Observation,2011-09-24,2011,3,LEO,647.7,Operational
SAT-0000002,MSN-0000003,JA-SAT-000002,Japan,MHI,Earth Observation,1989-01-26,1989,1,LEO,69.3,Retired
SAT-0000003,MSN-0000004,RU-SAT-000003,Russia,ISS-Reshetnev,Communications,2011-03-09,2011,1,LEO,2221.1,Operational
SAT-0000004,MSN-0000005,RU-SAT-000004,Russia,ISS-Reshetnev,Weather Monitoring,1997-03-17,1997,1,LEO,2848.2,Operational
SAT-0000005,MSN-0000006,RU-SAT-000005,Russia,ISS-Reshetnev,Communications,2003-05-18,2003,2,GEO,1012.5,Operational
SAT-0000006,MSN-0000007,RU-SAT-000006,Russia,ISS-Reshetnev,Earth Observation,1984-01-24,1984,1,Heliocentric,3142.9,Retired
SAT-0000007,MSN-0000008,CH-SAT-000007,China,GALACTIC ENERGY,Scientific Research,1998-03-18,1998,1,HEO,856.3,Retired
SAT-0000008,MSN-0000008,CH-SAT-000008,China,GALACTIC ENERGY,Weather Monitoring,1998-03-18,1998,1,HEO,575.6,Operational
SAT-0000009,MSN-0000009,IS-SAT-000009,Israel,ISA,Navigation,2019-05-08,2019,2,LEO,6443.9,Retired
SAT-0000010,MSN-0000010,CH-SAT-000010,China,CASC,Scientific Research,2012-09-06,2012,3,GEO,349.7,Operational
SAT-0000011,MSN-0000011,IN-SAT-000011,India,ISRO,Military,2014-07-22,2014,3,LEO,1132.1,Failed
SAT-0000012,MSN-0000012,CH-SAT-000012,China,CNSA,Communications,1988-02-23,1988,1,LEO,5074.0,Operational
SAT-0000013,MSN-0000013,US-SAT-000013,USA,Boeing,Technology Testing,2012-04-18,2012,2,MEO,5579.0,Operational
SAT-0000014,MSN-0000014,US-SAT-000014,USA,Rocket Lab,Communications,2001-07-14,2001,3,SSO,933.2,Operational
SAT-0000015,MSN-0000015,US-SAT-000015,USA,SpaceX,Earth Observation,1996-02-08,1996,1,LEO,2610.7,Partially Operational
SAT-0000016,MSN-0000017,JA-SAT-000016,Japan,MHI,Military,2004-04-28,2004,2,HEO,1156.8,Retired
SAT-0000017,MSN-0000018,ES-SAT-000017,ESA,ESA,Weather Monitoring,2017-11-23,2017,4,LEO,109.0,Operational
SAT-0000018,MSN-0000019,CH-SAT-000018,China,CASC,Communications,1973-10-16,1973,4,HEO,1426.0,Operational
SAT-0000019,MSN-0000021,CH-SAT-000019,China,CASIC,Communications,1991-11-23,1991,4,LEO,3037.4,Operational
SAT-0000020,MSN-0000022,SO-SAT-000020,South Korea,KARI,Weather Monitoring,2010-10-04,2010,4,GEO,2641.9,Operational
SAT-0000021,MSN-0000023,GE-SAT-000021,Germany,DLR,Communications,1998-03-15,1998,1,MEO,12038.8,Retired
SAT-0000022,MSN-0000025,CH-SAT-000022,China,GALACTIC ENERGY,Communications,1987-11-28,1987,4,GEO,524.6,Operational
SAT-0000023,MSN-0000026,US-SAT-000023,USA,NASA,Communications,1981-05-06,1981,2,GEO,87.7,Operational
SAT-0000024,MSN-0000026,US-SAT-000024,USA,NASA,Earth Observation,1981-05-06,1981,2,GEO,940.9,Partially Operational
SAT-0000025,MSN-0000026,US-SAT-000025,USA,NASA,Earth Observation,1981-05-06,1981,2,GEO,700.4,Operational
SAT-0000026,MSN-0000026,US-SAT-000026,USA,NASA,Navigation,1981-05-06,1981,2,GEO,1200.1,Operational
SAT-0000027,MSN-0000026,US-SAT-000027,USA,NASA,Navigation,1981-05-06,1981,2,GEO,711.1,Operational
SAT-0000028,MSN-0000026,US-SAT-000028,USA,NASA,Scientific Research,1981-05-06,1981,2,GEO,1037.5,Retired
SAT-0000029,MSN-0000026,US-SAT-000029,USA,NASA,Scientific Research,1981-05-06,1981,2,GEO,783.4,Failed
SAT-0000030,MSN-0000027,UA-SAT-000030,UAE,UAESA,Military,1983-01-27,1983,1,GEO,266.5,Failed
SAT-0000031,MSN-0000028,US-SAT-000031,USA,SpaceX,Scientific Research,1978-09-28,1978,3,Heliocentric,1108.2,Operational
SAT-0000032,MSN-0000028,US-SAT-000032,USA,SpaceX,Weather Monitoring,1978-09-28,1978,3,Heliocentric,355.3,Operational
SAT-0000033,MSN-0000028,US-SAT-000033,USA,SpaceX,Communications,1978-09-28,1978,3,Heliocentric,1537.5,Retired
SAT-0000034,MSN-0000028,US-SAT-000034,USA,SpaceX,Earth Observation,1978-09-28,1978,3,Heliocentric,1092.3,In Testing
SAT-0000035,MSN-0000028,US-SAT-000035,USA,SpaceX,Communications,1978-09-28,1978,3,Heliocentric,948.8,Operational
SAT-0000036,MSN-0000028,US-SAT-000036,USA,SpaceX,Weather Monitoring,1978-09-28,1978,3,Heliocentric,839.1,Retired
SAT-0000037,MSN-0000030,IN-SAT-000037,India,ISRO,Communications,2020-08-08,2020,3,SSO,801.1,Operational
SAT-0000038,MSN-0000031,FR-SAT-000038,France,Arianespace,Communications,2012-07-11,2012,3,SSO,3643.5,Retired
SAT-0000039,MSN-0000032,JA-SAT-000039,Japan,JAXA,Earth Observation,1968-05-06,1968,2,GTO,958.5,Operational
SAT-0000040,MSN-0000032,JA-SAT-000040,Japan,JAXA,Earth Observation,1968-05-06,1968,2,GTO,1545.7,Operational
SAT-0000041,MSN-0000032,JA-SAT-000041,Japan,JAXA,Technology Testing,1968-05-06,1968,2,GTO,863.3,Retired
SAT-0000042,MSN-0000032,JA-SAT-000042,Japan,JAXA,Earth Observation,1968-05-06,1968,2,GTO,994.2,Operational
SAT-0000043,MSN-0000032,JA-SAT-000043,Japan,JAXA,Space Exploration,1968-05-06,1968,2,GTO,438.9,In Testing
SAT-0000044,MSN-0000033,RU-SAT-000044,Russia,Roscosmos,Communications,2001-09-04,2001,3,SSO,662.6,Retired
SAT-0000045,MSN-0000034,US-SAT-000045,USA,ULA,Earth Observation,1996-06-22,1996,2,MEO,442.0,Operational
SAT-0000046,MSN-0000035,RU-SAT-000046,Russia,ISS-Reshetnev,Navigation,2007-04-14,2007,2,GTO,389.0,In Testing
SAT-0000047,MSN-0000036,JA-SAT-000047,Japan,JAXA,Space Exploration,1988-10-20,1988,4,LEO,3850.2,Operational
SAT-0000048,MSN-0000038,US-SAT-000048,USA,Boeing,Scientific Research,1967-04-16,1967,2,SSO,1407.0,Operational
SAT-0000049,MSN-0000039,CH-SAT-000049,China,CNSA,Earth Observation,1999-07-08,1999,3,GEO,653.5,Operational
SAT-0000050,MSN-0000041,RU-SAT-000050,Russia,ISS-Reshetnev,Scientific Research,2007-06-25,2007,2,GEO,4423.4,Operational
SAT-0000051,MSN-0000042,IN-SAT-000051,India,ISRO,Communications,1991-04-27,1991,2,LEO,1413.1,Operational
SAT-0000052,MSN-0000043,US-SAT-000052,USA,SpaceX,Military,1993-05-11,1993,2,SSO,1314.9,Partially Operational
SAT-0000053,MSN-0000044,US-SAT-000053,USA,Northrop Grumman,Weather Monitoring,2007-07-02,2007,3,SSO,5087.6,Operational
SAT-0000054,MSN-0000045,US-SAT-000054,USA,Northrop Grumman,Communications,2008-08-01,2008,3,LEO,3387.2,Retired
SAT-0000055,MSN-0000046,CH-SAT-000055,China,GALACTIC ENERGY,Scientific Research,1988-04-09,1988,2,GEO,1733.1,Retired
SAT-0000056,MSN-0000047,JA-SAT-000056,Japan,MHI,Weather Monitoring,2024-09-01,2024,3,GEO,6257.3,Retired
SAT-0000057,MSN-0000048,US-SAT-000057,USA,Boeing,Communications,2002-06-25,2002,2,LEO,3300.7,Operational
SAT-0000058,MSN-0000049,US-SAT-000058,USA,SpaceX,Communications,2006-06-08,2006,2,LEO,2582.1,Retired
SAT-0000059,MSN-0000050,US-SAT-000059,USA,ULA,Earth Observation,1981-11-04,1981,4,GTO,2338.3,Retired
SAT-0000060,MSN-0000051,US-SAT-000060,USA,Rocket Lab,Navigation,2015-02-25,2015,1,GTO,876.6,Operational
SAT-0000061,MSN-0000053,CH-SAT-000061,China,GALACTIC ENERGY,Earth Observation,2024-01-12,2024,1,LEO,2043.6,Operational
