telemetry_id,satellite_id,timestamp,temperature_c,power_usage_w,signal_strength_dbm,data_rate_mbps,storage_utilization_pct,voltage_v,solar_flux_w_m2,operational_status,is_anomaly,year
TLM-0000001,SAT-0042400,1987-05-09,19.5,1781.6,-67.1,825.1,58.1,28.51,1357.0,Nominal,False,1987
TLM-0000002,SAT-0003384,1965-09-10,38.7,2162.6,-90.1,962.6,39.0,28.48,1366.9,Partially Operational,False,1965
TLM-0000003,SAT-0012333,2019-09-26,25.7,548.2,-72.8,254.7,31.5,28.52,1280.3,Retired,False,2019
TLM-0000004,SAT-0002024,2010-10-20,24.7,645.0,-78.4,1198.2,57.9,28.0,1360.9,Retired,False,2010
TLM-0000005,SAT-0058620,1977-08-17,16.8,989.0,-85.6,533.8,21.8,28.02,1416.7,Nominal,False,1977
TLM-0000006,SAT-0004296,2021-07-01,31.3,674.0,-68.6,495.4,62.3,28.09,1283.6,Nominal,False,2021
TLM-0000007,SAT-0023880,2002-08-18,44.3,1938.2,-86.3,555.9,53.5,28.31,1400.1,Retired,False,2002
TLM-0000008,SAT-0013990,2022-03-02,24.1,1533.3,-99.8,433.3,26.7,27.92,1352.2,Nominal,False,2022
TLM-0000009,SAT-0044041,2005-11-20,44.4,1488.4,-89.5,111.4,40.7,28.12,1399.1,Nominal,False,2005
TLM-0000010,SAT-0087209,2012-09-16,21.6,518.7,-95.0,668.3,40.6,28.31,1322.7,Nominal,False,2012
TLM-0000011,SAT-0029150,1987-04-13,37.4,1690.1,-82.5,1227.5,57.0,28.48,1321.6,Nominal,False,1987
TLM-0000012,SAT-0041646,2004-04-24,38.6,2216.2,-107.9,307.6,43.5,28.38,1289.5,Nominal,False,2004
TLM-0000013,SAT-0077488,2015-02-17,35.2,899.3,-72.3,1051.4,33.7,28.55,1398.9,Nominal,False,2015
TLM-0000014,SAT-0017099,2014-11-21,22.4,1809.9,-74.3,1101.9,71.2,28.1,1376.7,In Testing,False,2014
TLM-0000015,SAT-0021712,1964-11-17,37.0,1267.8,-95.5,811.5,34.2,27.81,1307.4,Nominal,False,1964
TLM-0000016,SAT-0001039,2012-01-11,36.0,640.3,-94.0,543.9,62.7,28.44,1324.6,Nominal,False,2012
TLM-0000017,SAT-0016676,2013-05-15,27.1,827.0,-98.5,543.1,66.5,28.53,1380.8,In Testing,False,2013
